page_algo,cache_algo,workload,tlb_hit_rate,page_fault_rate,l1_hit_rate,l2_hit_rate,l3_hit_rate,amat_cycles,page_evictions,cache_evictions
CLOCK,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
CLOCK,FIFO,WORKING_SET,0.736438,0.09402,0.101044,0.612668,0.99853,18860.2,46754,623503
CLOCK,RANDOM,SEQUENTIAL,0,1,0,0.016398,0.999479,200156,499744,991729
CLOCK,RANDOM,RANDOM,0.01611,0.937114,0.002094,0.0303455,0.999471,187577,468301,982693
CLOCK,RANDOM,LOOPING,0.999936,6.4e-05,0.016854,0.999935,0,29.6195,0,491565
CLOCK,RANDOM,WORKING_SET,0.736438,0.09402,0.101184,0.617074,0.998512,18860,46754,621426
CLOCK,PLRU,SEQUENTIAL,0,1,0,0,0.999488,200157,499744,999928
CLOCK,PLRU,RANDOM,0.01611,0.937114,0.001972,0.0140317,0.99948,187578,468301,990954
CLOCK,PLRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
CLOCK,PLRU,WORKING_SET,0.736438,0.09402,0.101422,0.677194,0.998235,18857.8,46754,594250
LFU,LRU,SEQUENTIAL,0,0.938258,0.932536,0.0624037,0.991906,187760,468873,65287
LFU,LRU,RANDOM,0.015518,0.936792,0.93745,0.222254,0.989475,187465,468140,55527
LFU,LRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LFU,LRU,WORKING_SET,0.869828,0.093918,0.15683,0.934594,0.990716,18814,46703,449087
LFU,FIFO,SEQUENTIAL,0,0.938258,0.932538,0.0493018,0.992017,187760,468873,65727
LFU,FIFO,RANDOM,0.015518,0.936792,0.929956,0.293644,0.989652,187465,468140,59688
LFU,FIFO,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LFU,FIFO,WORKING_SET,0.869828,0.093918,0.15036,0.913566,0.993028,18814.9,46703,461467
LFU,RANDOM,SEQUENTIAL,0,0.938258,0.932974,0.0583356,0.991888,187760,468873,64999
LFU,RANDOM,RANDOM,0.015518,0.936792,0.92968,0.299374,0.989608,187465,468140,59722
LFU,RANDOM,LOOPING,0.999936,6.4e-05,0.016874,0.999935,0,29.6193,0,491555
LFU,RANDOM,WORKING_SET,0.869828,0.093918,0.150322,0.91432,0.992967,18814.8,46703,461167
LFU,PLRU,SEQUENTIAL,0,0.938258,0.932536,0.0660204,0.991874,187760,468873,65165
LFU,PLRU,RANDOM,0.015518,0.936792,0.937452,0.226194,0.989421,187465,468140,55402
LFU,PLRU,LOOPING,0.999936,6.4e-05,0,0.999936,0,29.8218,0,499992
LFU,PLRU,WORKING_SET,0.869828,0.093918,0.15666,0.930339,0.991285,18814.2,46703,450972
